url,title,seendate,domain,language,sourcecountry,sentiment,sentiment_score,sentiment_risk,sentiment_risk_score
https://tribune.com.pk/story/2624413/govt-hikes-petrol-by-rs577-high-speed-diesel-by-647-for-aug-18,"Govt hikes petrol by Rs5 . 77 , high - speed diesel by 6 . 47 for Aug 18",20260817T193000Z,tribune.com.pk,English,Pakistan,Neutral,0.0,0.5,50.0
https://tribune.com.pk/story/2624608/govt-hikes-petrol-by-rs334-high-speed-diesel-by-rs527-for-aug-19,"Govt hikes petrol by Rs3 . 34 , high - speed diesel by Rs5 . 27 for Aug 19",20260818T220000Z,tribune.com.pk,English,Pakistan,Neutral,0.0,0.5,50.0
https://www.zawya.com/en/business/oil-gas/saudi-june-crude-exports-climb-from-record-may-low-data-shows-462678,"Saudi June crude exports climb from record May low , data shows",20260821T034500Z,zawya.com,English,United Arab Emirates,Negative,-0.7003,0.85015,85.015
https://www.rappler.com/world/middle-east/iran-defiant-hormuz-strait-trump-high-gas-prices/,Iran defiant on strait as Trump tells Americans to accept high gas prices,20260815T063000Z,rappler.com,English,Philippines,Positive,0.1779,0.41105,41.105000000000004
http://www.econotimes.com/Strait-of-Hormuz-Shipping-Near-Standstill-After-New-Vessel-Attacks-1749551,Strait of Hormuz Shipping Near Standstill After New Vessel Attacks,20260814T211500Z,econotimes.com,English,United States,Negative,-0.4404,0.7202,72.02
https://www.business-standard.com/india-news/india-s-crude-import-bill-rises-41-to-13-7-bn-in-july-on-oil-prices-126081801425_1.html,India crude import bill rises 41 % to $13 . 7 bn in July on oil prices,20260818T181500Z,business-standard.com,English,India,Negative,-0.5719,0.7859499999999999,78.595
https://oilprice.com/Latest-Energy-News/World-News/Hormuz-Crisis-Pushes-Asian-Refiners-Toward-US-Oil.html,Hormuz Crisis Pushes Asian Refiners Toward U . S . Oil,20260814T133000Z,oilprice.com,English,United States,Negative,-0.6249,0.81245,81.245
http://www.jpost.com/middle-east/iran-news/article-905955,Strait of Hormuz traffic slows amid blockade | The Jerusalem Post,20260819T073000Z,jpost.com,English,Israel,Neutral,0.0,0.5,50.0
https://arynews.tv/hormuz-traffic-slows-as-uncertainty-over-waterway-persists,Hormuz traffic slows as uncertainty over waterway persists,20260819T071500Z,arynews.tv,English,Pakistan,Negative,-0.34,0.67,67.0
https://www.rte.ie/news/2026/0819/1588442-middle-east/,UAE suspends Iran trade after ballistic missiles detected,20260819T063000Z,rte.ie,English,Ireland,Neutral,0.0,0.5,50.0
https://tribune.com.pk/story/2624965/govt-increases-petrol-by-27-paisas-hsd-by-rs164-for-aug-21,"Govt increases petrol by 27 paisas , HSD by Rs1 . 64 for Aug 21",20260820T204500Z,tribune.com.pk,English,Pakistan,Neutral,0.0,0.5,50.0
https://www.morningstar.com/news/dow-jones/202608148787/dow-jones-top-energy-headlines-at-4-pm-et-bp-xrg-partner-on-venezuelan-offshore-gas-development-as-oil-majors-tentatively-return-crude,"Dow Jones Top Energy Headlines at 4 PM ET : BP , XRG Partner on Venezuelan Offshore Gas Development as Oil Majors Tentatively Return | Crude ... ",20260814T204500Z,morningstar.com,English,China,Negative,-0.2023,0.60115,60.114999999999995
https://intlxpatr.com/2026/08/17/the-strait-of-hormuz-15-august-2026/,"The Strait of Hormuz , 17 August 2026",20260817T194500Z,intlxpatr.com,English,,Neutral,0.0,0.5,50.0
https://www.news24.com/world/iran-defiant-on-strait-as-trump-tells-americans-to-accept-high-fuel-prices-20260815-0896,Iran defiant on strait as Trump tells Americans to accept high fuel prices,20260815T170000Z,news24.com,English,South Africa,Positive,0.1779,0.41105,41.105000000000004
https://www.thestar.com.my/news/nation/2026/08/19/fuel-prices-aug-20-26-unsubsidised-petrol-diesel-prices-all-up-10-20sen,"Fuel prices Aug 20 - 26 : Unsubsidised petrol , diesel prices all up 10 - 20sen",20260819T140000Z,thestar.com.my,English,Malaysia,Neutral,0.0,0.5,50.0
https://maritime-executive.com/editorials/will-chinese-oil-imports-rebound-after-the-iran-war,Will Chinese Oil Imports Rebound After the Iran War ? ,20260815T010000Z,maritime-executive.com,English,United States,Negative,-0.5994,0.7997000000000001,79.97000000000001
https://www.cnbc.com/2026/08/19/diesel-price-california-ukraine-russia-iran-strait-hormuz.html,"Diesel in California hits $7 as wars in Europe , Middle East strain supply",20260819T183000Z,cnbc.com,English,United States,Negative,-0.5859,0.79295,79.295
https://dunyanews.tv/en/Business/968614-oil-edges-up-on-uncertainty-over-exports-through-hormuz,Oil edges up on uncertainty over exports through Hormuz,20260819T041500Z,dunyanews.tv,English,Pakistan,Negative,-0.34,0.67,67.0
https://www.straitstimes.com/business/oil-edges-up-on-uncertainty-over-exports-through-hormuz,Oil prices rise amid Strait of Hormuz export uncertainties,20260819T034500Z,straitstimes.com,English,Singapore,Negative,-0.34,0.67,67.0
https://www.business-standard.com/markets/commodities/oil-prices-edge-higher-on-uncertainty-over-exports-through-hormuz-126081900086_1.html,Oil prices edge higher on uncertainty over exports through Hormuz,20260819T030000Z,business-standard.com,English,India,Negative,-0.34,0.67,67.0
https://www.omanobserver.om/article/1194500/world/region/iran-defiant-on-hormuz-with-no-sign-of-peace-talks,Iran defiant on Hormuz with no sign of peace talks,20260815T161500Z,omanobserver.om,English,Oman,Positive,0.1027,0.44865,44.865
https://en.shafaqna.com/471451/oil-prices-rose/,Oil prices rose – Shafaqna English | International Shia News & Fatwas,20260817T050000Z,en.shafaqna.com,English,Saudi Arabia,Neutral,0.0,0.5,50.0
https://www.morningstar.com/news/dow-jones/202608147067/the-week-in-oil-stalled-hormuz-talks-send-prices-higher,The Week in Oil : Stalled Hormuz Talks Send Prices Higher,20260814T170000Z,morningstar.com,English,China,Negative,-0.2023,0.60115,60.114999999999995
https://www.bankingnews.gr/diethni/articles/894589/energy-nightmare-attacks-in-the-devil-s-triangle-will-send-oil-skyrocketing-to-110%20title=,Energy nightmare - Attacks in the devil triangle will send oil skyrocketing to $110,20260819T143000Z,bankingnews.gr,English,Greece,Negative,-0.7351,0.86755,86.75500000000001
https://www.pakistantoday.com.pk/2026/08/18/saudi-aramco-resumes-some-oil-loadings-from-inside-strait-of-hormuz,Saudi Aramco resumes Hormuz oil loadings,20260818T170000Z,pakistantoday.com.pk,English,Pakistan,Neutral,0.0,0.5,50.0
http://www.thejakartapost.com/business/2026/08/15/iran-defiant-on-strait-as-trump-tells-americans-to-accept-high-gas-prices,Iran defiant on strait as Trump tells Americans to accept high gas prices - Markets,20260815T091500Z,thejakartapost.com,English,Indonesia,Positive,0.1779,0.41105,41.105000000000004
https://www.straitstimes.com/world/middle-east/iran-defiant-on-strait-as-trump-tells-americans-to-accept-high-gas-prices,Iran defiant on strait as Trump tells Americans to accept high petrol prices,20260815T071500Z,straitstimes.com,English,Singapore,Positive,0.1779,0.41105,41.105000000000004
https://pajhwok.com/2026/08/17/hormuz-shipping-traffic-drops-sharply/,Hormuz shipping traffic drops sharply,20260817T050000Z,pajhwok.com,English,Afghanistan,Neutral,0.0,0.5,50.0
https://www.marinelink.com/news/iran-tells-us-stop-indulging-fantasies-542138,Iran Tells US :  Stop Indulging In Fantasies  ,20260817T040000Z,marinelink.com,English,United States,Negative,-0.296,0.648,64.8
https://www.canberratimes.com.au/story/9330863/iran-defiant-as-trump-tells-us-to-accept-dearer-petrol/,Iran defiant as Trump tells US to accept dearer petrol,20260815T074500Z,canberratimes.com.au,English,Australia,Positive,0.5574,0.2213,22.13
https://www.democracynow.org/2026/8/18/headlines/russian_oil_spills_from_grounded_tanker_fouling_beaches_in_oman,"Russian Oil Spills from Grounded Tanker , Fouling Beaches in Oman",20260818T163000Z,democracynow.org,English,United States,Neutral,0.0,0.5,50.0
https://peakoil.com/production/hormuz-crisis-pushes-asian-refiners-toward-u-s-oil,Hormuz Crisis Pushes Asian Refiners Toward U . S . Oil  | Peak Oil News and Message Boards,20260814T203000Z,peakoil.com,English,United States,Negative,-0.6249,0.81245,81.245
https://www.arabnews.com/node/2655050/business-economy,Oil climbs as fading US - Iran peace hopes raise supply risks,20260818T083000Z,arabnews.com,English,Saudi Arabia,Positive,0.6369,0.18155,18.154999999999998
