url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://tribune.com.pk/story/2624413/govt-hikes-petrol-by-rs577-high-speed-diesel-by-647-for-aug-18,,"Govt hikes petrol by Rs5 . 77 , high - speed diesel by 6 . 47 for Aug 18",20260817T193000Z,https://i.tribune.com.pk/media/images/61774608206-2/61774608206-2-640x480.webp,tribune.com.pk,English,Pakistan
https://tribune.com.pk/story/2624608/govt-hikes-petrol-by-rs334-high-speed-diesel-by-rs527-for-aug-19,,"Govt hikes petrol by Rs3 . 34 , high - speed diesel by Rs5 . 27 for Aug 19",20260818T220000Z,https://i.tribune.com.pk/media/images/et-shayan-301778833382-0/et-shayan-301778833382-0-640x480.webp,tribune.com.pk,English,Pakistan
https://www.zawya.com/en/business/oil-gas/saudi-june-crude-exports-climb-from-record-may-low-data-shows-462678,,"Saudi June crude exports climb from record May low , data shows",20260821T034500Z,https://media.zawya.com/prod/images/gm_preview/a7116f7d5cb0-2026-08-03t073334z269669342rc2rqma1tkmqrtrmadp3iran-crisis-shipping.jpg,zawya.com,English,United Arab Emirates
https://www.rappler.com/world/middle-east/iran-defiant-hormuz-strait-trump-high-gas-prices/,,Iran defiant on strait as Trump tells Americans to accept high gas prices,20260815T063000Z,https://www.rappler.com/tachyon/2026/08/iran-crisis-reuters-august-2026-scaled.jpg,rappler.com,English,Philippines
https://www.thedailystar.net/news/world/news/iran-defiant-strait-trump-tells-americans-accept-high-gas-prices-4247991,,Iran defiant on strait as Trump tells Americans to accept high gas prices,20260815T033000Z,,thedailystar.net,English,Bangladesh
https://www.asiaone.com/world/iran-defiant-strait-trump-tells-americans-accept-high-gas-prices,,Iran defiant on strait as Trump tells Americans to accept high gas prices,20260815T023000Z,https://www.asiaone.com/sites/default/files/styles/article_top_image/public/original_images/Aug2026/15826_trump_reuters.jpg?itok=IzPhSzZZ,asiaone.com,English,Singapore
http://www.econotimes.com/Strait-of-Hormuz-Shipping-Near-Standstill-After-New-Vessel-Attacks-1749551,,Strait of Hormuz Shipping Near Standstill After New Vessel Attacks,20260814T211500Z,https://f1.econotimes.com/2020/01/232xctc0br.jpg,econotimes.com,English,United States
https://www.business-standard.com/india-news/india-s-crude-import-bill-rises-41-to-13-7-bn-in-july-on-oil-prices-126081801425_1.html,https://www.business-standard.com/amp/india-news/india-s-crude-import-bill-rises-41-to-13-7-bn-in-july-on-oil-prices-126081801425_1.html,India crude import bill rises 41 % to $13 . 7 bn in July on oil prices,20260818T181500Z,https://bsmedia.business-standard.com/_media/bs/img/article/2026-06/12/thumb/fitandfill/1200X628/1781286672-8998.jpg,business-standard.com,English,India
https://oilprice.com/Latest-Energy-News/World-News/Hormuz-Crisis-Pushes-Asian-Refiners-Toward-US-Oil.html,https://oilprice.com/Latest-Energy-News/World-News/Hormuz-Crisis-Pushes-Asian-Refiners-Toward-US-Oil.amp.html,Hormuz Crisis Pushes Asian Refiners Toward U . S . Oil,20260814T133000Z,https://d32r1sh890xpii.cloudfront.net/news/1200x675/2026-08-14_4cisiuulyf.jpg,oilprice.com,English,United States
http://www.jpost.com/middle-east/iran-news/article-905955,,Strait of Hormuz traffic slows amid blockade | The Jerusalem Post,20260819T073000Z,"https://images.jpost.com/image/upload/f_auto,fl_lossy/q_auto/c_fill,g_faces:center,h_720,w_1280/734501",jpost.com,English,Israel
https://www.jpost.com/middle-east/iran-news/article-905955,,Strait of Hormuz traffic slows amid blockade | The Jerusalem Post,20260819T044500Z,"https://images.jpost.com/image/upload/f_auto,fl_lossy/q_auto/c_fill,g_faces:center,h_720,w_1280/734501",jpost.com,English,Israel
https://arynews.tv/hormuz-traffic-slows-as-uncertainty-over-waterway-persists,https://arynews.tv/hormuz-traffic-slows-as-uncertainty-over-waterway-persists.amp,Hormuz traffic slows as uncertainty over waterway persists,20260819T071500Z,https://static.arynews.tv/zip-archives/wp-content/uploads/2026/08/Strait-of-Hormz.jpg,arynews.tv,English,Pakistan
https://www.arabnews.com/node/2655152/middle-east,https://www.arabnews.com/node/2655152/amp,Hormuz traffic slows as uncertainty over waterway persists,20260819T051500Z,https://www.arabnews.com/sites/default/files/styles/watermark_670x423/public/main-image/2026/08/19/4742389-648092368.jpg?itok=NvTgN_dy,arabnews.com,English,Saudi Arabia
